TERYT;Wojewodztwo;Powiat;pow;typ;TOT;mlodzi;sredni;starsi;Przemysl;DPS;szkoly;X;Y
1003;łódzkie;łaski;616;ziemski;50067;7254;35539;7227;4;1;37;502646;410260
1004;łódzkie;łęczycki;769,8;ziemski;52384;7606;36301;8432;5;2;36;513350;471110
1009;łódzkie;pajęczański;801,2;ziemski;52985;8194;36794;7990;14;1;45;501836;363828
1012;łódzkie;radomszczański;1437,9;ziemski;117845;17601;82508;17687;17;7;80;544159;355508
1019;łódzkie;zduńskowolski;367,8;ziemski;68537;10417;48888;9212;9;1;41;486639;420513
804;lubuskie;nowosolski;767,8;ziemski;87944;13945;63178;10831;4;2;30;274614;446831
1804;podkarpackie;jarosławski;1025,4;ziemski;122607;19972;86827;15808;21;3;80;770799;246619
1811;podkarpackie;mielecki;877,5;ziemski;136396;22150;96346;17857;17;1;49;670204;274581
1465;mazowieckie;Warszawa;515,2;grodzki;1704590;222712;1186095;295794;42;30;470;640732;487219
1605;opolskie;krapkowicki;440,3;ziemski;66149;8819;48030;9308;6;0;31;426010;287796
2008;podlaskie;moniecki;1376,1;ziemski;42817;6494;29407;6909;5;1;35;751024;626736
2604;świętokrzyskie;kielecki;2237,9;ziemski;206682;34620;147288;24723;58;2;108;615053;327340
3030;wielkopolskie;wrzesiński;700,7;ziemski;76242;12763;54883;8564;16;0;34;403768;487033
3003;wielkopolskie;gnieźnieński;1250;ziemski;143652;23703;103637;16222;23;4;58;403151;521825
2209;pomorskie;malborski;492,3;ziemski;64895;10428;46770;7698;3;2;34;502884;688743
2809;warmińsko-mazurskie;lidzbarski;921;ziemski;43048;6615;30880;5485;2;1;23;590222;694376
2814;warmińsko-mazurskie;olsztyński;2826;ziemski;122183;20469;89384;12187;16;7;50;606530;658330
3213;zachodniopomorskie;sławieński;1038,6;ziemski;58147;9363;42149;6636;9;0;34;340269;726705
2803;warmińsko-mazurskie;działdowski;950;ziemski;66981;11684;47712;7581;21;0;51;569852;603141
204;dolnośląskie;górowski;735,5;ziemski;36958;6202;26286;4454;7;1;19;330392;421762
2216;pomorskie;sztumski;727,4;ziemski;42600;7440;31047;4075;7;1;26;514458;670768
2207;pomorskie;kwidzyński;831,1;ziemski;83564;14724;60715;8089;3;3;51;502042;653572
2465;śląskie;Dąbrowa Górnicza;188,1;grodzki;123814;15522;91740;16546;19;6;66;522843;278123
